Antwerp|14|Montpelier|21
Archbishop Alter|14|Kettering Fairmont|7
Avon|22|St Ignatius|21
Cambridge|36|Indian Creek|49
Cardinal|0|LaBrae|49
Conotton Valley|46|Tuscarawas Central Catholic|12
Fairbanks|21|Colonel Crawford|45
Fairless|44|Sandy Valley|6
Frontier|50|Bridgeport|14
Archbishop Hoban|24|West Orange|28
Ironton|42|Williamsburg|0
Jackson|21|Unioto|35
Jackson|34|Chardon|13
Jackson-Milton|27|Mathews|34
John F Kennedy|28|Garfield|37
Garfield|7|Norton|49
Leetonia|0|Lisbon David Anderson|14
Lehman Catholic|6|St John's|40
Leipsic|40|Calvert|3
Campbell Memorial|2|Liberty|45
Archbishop Moeller|24|Princeton|31
Northwest|0|Piketon|41
Pandora-Gilboa|12|Columbus Grove|42
River|41|Notre Dame|6
Rootstown|14|Southeast|13
St John's Jesuit|44|Scott|8
Shawnee|20|Lima Central Catholic|51
Harvest Prep|18|Versailles|21
Gamble Montessori|50|Stivers|6
Brentwood Academy|20|Baylor|38
Marietta|24|NFL Academy|44
Ada|30|Upper Scioto Valley|0
Africentric Early College|6|Groveport Madison|14
Alexander|47|Miller|14
Allen East|49|Perry|0
Alliance|0|Northwest|16
Amanda-Clearcreek|12|West Jefferson|29
Anna|60|Spencerville|0
Ansonia|32|Riverside|8
Arcadia|41|Cory-Rawson|14
Arcanum|7|Covington|31
Ashland|28|Bay|7
Athens|49|Logan|21
Barnesville|34|John Glenn|19
Bath|43|Indian Lake|54
Bedford|7|East|12
Bellbrook|27|Tippecanoe|14
Bellefontaine|35|Sidney|14
Belmont|29|Woodward|0
Benedictine|32|Gilmour Academy|14
Berkshire|22|Harvey|27
Berne Union|40|River Valley|6
Bethel-Tate|18|New Richmond|49
Bishop Rosecrans|0|Shenandoah|46
Bishop Watterson|35|Anthony Wayne|0
Black River|20|Hillsdale|34
Bloom-Carroll|21|River Valley|9
Bluffton|42|Benjamin Logan|28
Bowsher|13|Otsego|47
Brooklyn|14|Grand Valley|47
Brookside|42|University School|64
Brookville|14|Parkway|27
Brunswick|47|Berea-Midpark|42
Bryan|6|Van Wert|41
Buchtel|8|Hoover|35
Buckeye Local|13|Bellaire|43
