name,school,city,school_id,division,region,record,harbin
Brunswick (Brunswick),Brunswick,Brunswick,268,I,1,1-0,6.5
Hudson (Hudson),Hudson,Hudson,740,I,1,1-0,6.5
St Edward (Lakewood),St Edward,Lakewood,1346,I,1,1-0,6.5
Canton McKinley (Canton),Canton McKinley,Canton,306,I,1,1-0,6.0
Euclid (Euclid),Euclid,Euclid,540,I,1,1-0,6.0
Mentor (Mentor),Mentor,Mentor,1016,I,1,1-0,6.0
Strongsville (Strongsville),Strongsville,Strongsville,1498,I,1,1-0,6.0
Jackson (Massillon),Jackson,Massillon,764,I,1,1-0,5.5
Austintown-Fitch (Austintown),Austintown-Fitch,Austintown,148,I,1,0-1,0.0
Berea-Midpark (Berea),Berea-Midpark,Berea,200,I,1,0-1,0.0
Cleveland Heights (Cleveland Heights),Cleveland Heights,Cleveland Heights,385,I,1,0-1,0.0
Elyria (Elyria),Elyria,Elyria,532,I,1,0-1,0.0
GlenOak (Canton),GlenOak,Canton,650,I,1,0-1,0.0
John Marshall (Cleveland),John Marshall,Cleveland,792,I,1,0-1,0.0
Lorain (Lorain),Lorain,Lorain,894,I,1,0-1,0.0
Medina (Medina),Medina,Medina,1006,I,1,0-1,0.0
Solon (Solon),Solon,Solon,1428,I,1,0-1,0.0
St Ignatius (Cleveland),St Ignatius,Cleveland,1354,I,1,0-1,0.0
Stow-Munroe Falls (Stow),Stow-Munroe Falls,Stow,1492,I,1,0-1,0.0
Hilliard Darby (Hilliard),Hilliard Darby,Hilliard,717,I,2,1-0,6.5
Springfield (Springfield),Springfield,Springfield,1480,I,2,1-0,6.5
Whitmer (Toledo),Whitmer,Toledo,1704,I,2,1-0,6.5
Beavercreek (Beavercreek),Beavercreek,Beavercreek,178,I,2,1-0,6.0
Grove City (Grove City),Grove City,Grove City,680,I,2,1-0,6.0
Westland (Galloway),Westland,Galloway,1686,I,2,1-0,6.0
Dublin Coffman (Dublin),Dublin Coffman,Dublin,474,I,2,1-0,5.5
Hilliard Davidson (Hilliard),Hilliard Davidson,Hilliard,716,I,2,1-0,5.5
Miamisburg (Miamisburg),Miamisburg,Miamisburg,1020,I,2,1-0,5.5
Perrysburg (Perrysburg),Perrysburg,Perrysburg,1248,I,2,1-0,5.5
St John's Jesuit (Toledo),St John's Jesuit,Toledo,1360,I,2,1-0,5.5
Centerville (Centerville),Centerville,Centerville,336,I,2,0-1,0.0
Central Crossing (Grove City),Central Crossing,Grove City,345,I,2,0-1,0.0
Dublin Jerome (Dublin),Dublin Jerome,Dublin,486,I,2,0-1,0.0
Dublin Scioto (Dublin),Dublin Scioto,Dublin,475,I,2,0-1,0.0
Hilliard Bradley (Hilliard),Hilliard Bradley,Hilliard,713,I,2,0-1,0.0
Kettering Fairmont (Kettering),Kettering Fairmont,Kettering,807,I,2,0-1,0.0
Marysville (Marysville),Marysville,Marysville,970,I,2,0-1,0.0
Northmont (Clayton),Northmont,Clayton,1142,I,2,0-1,0.0
Wayne (Huber Heights),Wayne,Huber Heights,1638,I,2,0-1,0.0
Gahanna Lincoln (Gahanna),Gahanna Lincoln,Gahanna,876,I,3,1-0,6.5
Newark (Newark),Newark,Newark,1088,I,3,1-0,6.5
Olentangy Berlin (Delaware),Olentangy Berlin,Delaware,1201,I,3,1-0,6.5
St Charles (Columbus),St Charles,Columbus,1342,I,3,1-0,6.5
Thomas Worthington (Worthington),Thomas Worthington,Worthington,1738,I,3,1-0,6.5
Upper Arlington (Upper Arlington),Upper Arlington,Upper Arlington,1572,I,3,1-0,6.5
Westerville North (Westerville),Westerville North,Westerville,1672,I,3,1-0,6.5
Westerville South (Westerville),Westerville South,Westerville,1674,I,3,1-0,6.5
Pickerington North (Pickerington),Pickerington North,Pickerington,1255,I,3,1-0,6.0
Worthington Kilbourne (Columbus),Worthington Kilbourne,Columbus,1741,I,3,1-0,6.0
